1: PARTICLEEMITTER_TITLE_TORCHFLAME_SMOKE
2: PARTICLEEMITTER_TITLE_TORCHFLAME_BACKFLAMES
3: PARTICLEEMITTER_TITLE_TORCHFLAME_FLAMES
4: PARTICLEEMITTER_TITLE_TORCHFLAME_BACKFLAMES_ANIMATED
5: PARTICLEEMITTER_TITLE_TORCHFLAME_FLAMES_ANIMATED
6: PARTICLEEMITTER_TITLE_TORCHFLAME_ASH
7: PARTICLEEMITTER_CHARSELECTOR_TORCHFLAME_SMOKE
8: PARTICLEEMITTER_CHARSELECTOR_TORCHFLAME_FLAMES
9: PARTICLEEMITTER_MAINMENU_CEILINGDUST_SMOKE
10: PARTICLEEMITTER_MAINMENU_CEILINGDUST_RUBBLE
11: PARTICLEEMITTER_MAINMENU_CEILINGDUST_SMOKE_SMALL
12: PARTICLEEMITTER_MAINMENU_CEILINGDUST_RUBBLE_SMALL
13: PARTICLEEMITTER_DMRESULT_BLOOD
14: PARTICLEEMITTER_DMRESULT_MEATPIECES
15: PARTICLEEMITTER_DMCOUNTDOWN_RUBBLES
16: PARTICLEEMITTER_DMCOUNTDOWN_RUBBLES_LARGE
17: PARTICLEEMITTER_DMCOUNTDOWN_DUST
18: PARTICLEEMITTER_DMCOUNTDOWN_SPARKS
19: PARTICLEEMITTER_DMCOUNTDOWN_SPARKS_SMALL
20: PARTICLEEMITTER_DMCOUNTDOWN_FLAMES
21: PARTICLEEMITTER_DMCOUNTDOWN_BLAST
22: PARTICLEEMITTER_DMCOUNTDOWN_HIGH_TENSION_THUNDERBOLT
23: PARTICLEEMITTER_DMCOUNTDOWN_FOG
24: PARTICLEEMITTER_BOMB_SMOKE
25: PARTICLEEMITTER_EXPLOSION_SMOKE
26: PARTICLEEMITTER_EXPLOSION_SPARKS
27: PARTICLEEMITTER_EXPLOSION_SHOCKWAVE
28: PARTICLEEMITTER_EXPLOSION_WHITESMOKE
29: PARTICLEEMITTER_TORCHFLAME_IGNITION_SPARK
30: PARTICLEEMITTER_TORCHFLAME_SMOKE
31: PARTICLEEMITTER_TORCHFLAME_FLAMES
32: PARTICLEEMITTER_TORCHFLAME_WARP
33: PARTICLEEMITTER_COOKFIRE_SMOKE
34: PARTICLEEMITTER_COOKFIRE_FLAMES
35: PARTICLEEMITTER_COOKFIRE_WARP
36: PARTICLEEMITTER_SMALLFLAME_SMOKE
37: PARTICLEEMITTER_SMALLFLAME_FLAMES
38: PARTICLEEMITTER_SMALLFLAME_WARP
39: PARTICLEEMITTER_WHIPFLAME_FLAMES
40: PARTICLEEMITTER_FLAMETHROWER_SMOKE
41: PARTICLEEMITTER_FIREBALL_TRAIL
42: PARTICLEEMITTER_FIREBALL_DESTROYED
43: PARTICLEEMITTER_EGGSHIP_SMOKE
44: PARTICLEEMITTER_OLMECSHIP_HOLE_DUST
45: PARTICLEEMITTER_ENDINGTREASURE_DUST
46: PARTICLEEMITTER_CURSEDPOT_SMOKE
47: PARTICLEEMITTER_CURSEDPOT_BEHINDSMOKE
48: PARTICLEEMITTER_FLOORDUST
49: PARTICLEEMITTER_FLOORFALLINGDUST_SMOKE
50: PARTICLEEMITTER_FLOORFALLINGDUST_RUBBLE
51: PARTICLEEMITTER_OUROBORO_FALLING_RUBBLE
52: PARTICLEEMITTER_FLOORPOOF
53: PARTICLEEMITTER_FLOORPOOF_SMALL
54: PARTICLEEMITTER_FLOORPOOF_BIG
55: PARTICLEEMITTER_SANDFLOORPOOF
56: PARTICLEEMITTER_FLYPOOF
57: PARTICLEEMITTER_OLMECFLOORPOOF
58: PARTICLEEMITTER_CRUSHTRAPPOOF
59: PARTICLEEMITTER_FLOORPOOF_TRAIL
60: PARTICLEEMITTER_FLOORPOOF_TRAIL_BIG
61: PARTICLEEMITTER_MOLEFLOORPOOF
62: PARTICLEEMITTER_ITEMDUST
63: PARTICLEEMITTER_LARGEITEMDUST
64: PARTICLEEMITTER_BLOODTRAIL
65: PARTICLEEMITTER_GREENBLOODTRAIL
66: PARTICLEEMITTER_BULLETPOOF
67: PARTICLEEMITTER_ARROWPOOF
68: PARTICLEEMITTER_TREASURE_SPARKLE_LOW
69: PARTICLEEMITTER_TREASURE_SPARKLE_MEDIUM
70: PARTICLEEMITTER_TREASURE_SPARKLE_HIGH
71: PARTICLEEMITTER_TREASURE_SPARKLE_HUD
72: PARTICLEEMITTER_ENDING_TREASURE_TIAMAT_SPARKLE
73: PARTICLEEMITTER_ENDING_TREASURE_HUNDUN_SPARKLE
74: PARTICLEEMITTER_AU_GOLD_SPARKLES
75: PARTICLEEMITTER_USHABTI_GOLD
76: PARTICLEEMITTER_USHABTI_JADE
77: PARTICLEEMITTER_LIONTRAP_SPARKLE
78: PARTICLEEMITTER_CLOVER_WITHER_HUD
79: PARTICLEEMITTER_ITEM_CRUSHED_SPARKS
80: PARTICLEEMITTER_COG_SPARKLE
81: PARTICLEEMITTER_COG_TUNNEL_FOG
82: PARTICLEEMITTER_FLAMETRAIL_FLAMES
83: PARTICLEEMITTER_FLAMETRAIL_SMOKE
84: PARTICLEEMITTER_JETPACK_SMOKETRAIL
85: PARTICLEEMITTER_JETPACK_LITTLEFLAME
86: PARTICLEEMITTER_SHOTGUNBLAST_SMOKE
87: PARTICLEEMITTER_SHOTGUNBLAST_SPARKS
88: PARTICLEEMITTER_OUROBORO_MIST
89: PARTICLEEMITTER_OUROBORO_EMBERS
90: PARTICLEEMITTER_GHOST_MIST
91: PARTICLEEMITTER_GHOST_WARP
92: PARTICLEEMITTER_GHOST_FOG
93: PARTICLEEMITTER_PLAYERGHOST_FREEZESPARKLES
94: PARTICLEEMITTER_TOMB_FOG
95: PARTICLEEMITTER_ALTAR_SKULL
96: PARTICLEEMITTER_ALTAR_SMOKE
97: PARTICLEEMITTER_ALTAR_SPARKS
98: PARTICLEEMITTER_COLLECTPOOF_SPARKS
99: PARTICLEEMITTER_COLLECTPOOF_CLOUDS
100: PARTICLEEMITTER_PRIZEAPPEARING_CLOUDS
101: PARTICLEEMITTER_ACIDBUBBLEBURST_BUBBLES
102: PARTICLEEMITTER_ACIDBUBBLEBURST_SPARKS
103: PARTICLEEMITTER_INKSPIT_TRAIL
104: PARTICLEEMITTER_INKSPIT_BUBBLEBURST
105: PARTICLEEMITTER_CAMERA_FRAME
106: PARTICLEEMITTER_BLUESPARKS
107: PARTICLEEMITTER_PINKSPARKS
108: PARTICLEEMITTER_ICESPIRETRAIL_SPARKLES
109: PARTICLEEMITTER_WETEFFECT_DROPS
110: PARTICLEEMITTER_ONFIREEFFECT_SMOKE
111: PARTICLEEMITTER_ONFIREEFFECT_FLAME
112: PARTICLEEMITTER_POISONEDEFFECT_BUBBLES_BASE
113: PARTICLEEMITTER_POISONEDEFFECT_BUBBLES_BURST
114: PARTICLEEMITTER_POISONEDEFFECT_BUBBLES_HUD
115: PARTICLEEMITTER_POISONEDEFFECT_SKULL
116: PARTICLEEMITTER_CURSEDEFFECT_PIECES
117: PARTICLEEMITTER_CURSEDEFFECT_PIECES_HUD
118: PARTICLEEMITTER_CURSEDEFFECT_SKULL
119: PARTICLEEMITTER_HITEFFECT_SPARKS
120: PARTICLEEMITTER_HITEFFECT_SPARKS_BIG
121: PARTICLEEMITTER_HITEFFECT_STARS_SMALL
122: PARTICLEEMITTER_HITEFFECT_STARS_BIG
123: PARTICLEEMITTER_HITEFFECT_RING
124: PARTICLEEMITTER_HITEFFECT_SMACK
125: PARTICLEEMITTER_HITEFFECT_HALO
126: PARTICLEEMITTER_NOHITEFFECT_SPARKS
127: PARTICLEEMITTER_NOHITEFFECT_STARS
128: PARTICLEEMITTER_NOHITEFFECT_RING
129: PARTICLEEMITTER_NOHITEFFECT_SMACK
130: PARTICLEEMITTER_CONTACTEFFECT_SPARKS
131: PARTICLEEMITTER_UFOLASERSHOTHITEFFECT_BIG
132: PARTICLEEMITTER_UFOLASERSHOTHITEFFECT_SMALL
133: PARTICLEEMITTER_SCEPTERKILL_SPARKLES
134: PARTICLEEMITTER_SCEPTERKILL_SPARKS
135: PARTICLEEMITTER_SCEPTER_BLAST
136: PARTICLEEMITTER_BLAST_PLASMAWARP_TRAIL
137: PARTICLEEMITTER_TELEPORTEFFECT_SPARKS
138: PARTICLEEMITTER_TELEPORTEFFECT_GREENSPARKLES
139: PARTICLEEMITTER_TELEPORTEFFECT_REDSPARKLES
140: PARTICLEEMITTER_COFFINDOORPOOF_SPARKS
141: PARTICLEEMITTER_GASTRAIL
142: PARTICLEEMITTER_GASTRAIL_BIG
143: PARTICLEEMITTER_EVAPORATION_WATER
144: PARTICLEEMITTER_SPLASH_WATER
145: PARTICLEEMITTER_LAVAHEAT
146: PARTICLEEMITTER_MAGMAMANHEAT
147: PARTICLEEMITTER_VOLCANO_FOG
148: PARTICLEEMITTER_VOLCANO_ASH
149: PARTICLEEMITTER_DMRESULTS_ASH
150: PARTICLEEMITTER_DMPREMATCH_ASH_2P
151: PARTICLEEMITTER_DMPREMATCH_ASH_3P
152: PARTICLEEMITTER_DMPREMATCH_ASH_4P
153: PARTICLEEMITTER_ICECAVES_DIAMONDDUST
154: PARTICLEEMITTER_ICEFLOOR_MIST
155: PARTICLEEMITTER_ICECAGE_MIST
156: PARTICLEEMITTER_DUSTWALL
157: PARTICLEEMITTER_APEP_DUSTWALL
158: PARTICLEEMITTER_MOUNT_TAMED
159: PARTICLEEMITTER_PETTING_PET
160: PARTICLEEMITTER_MERCHANT_APPEAR_POOF
161: PARTICLEEMITTER_ALTAR_MONSTER_APPEAR_POOF
162: PARTICLEEMITTER_LASERBEAM_SPARKLES
163: PARTICLEEMITTER_HORIZONTALLASERBEAM_SPARKLES
164: PARTICLEEMITTER_LASERBEAM_SPARKLES_END
165: PARTICLEEMITTER_HORIZONTALLASERBEAM_SPARKLES_END
166: PARTICLEEMITTER_LASERBEAM_SPARKS
167: PARTICLEEMITTER_HORIZONTALLASERBEAM_SPARKS
168: PARTICLEEMITTER_LASERBEAM_CONTACT
169: PARTICLEEMITTER_KINGUDUST
170: PARTICLEEMITTER_KINGUSLIDINGDUST
171: PARTICLEEMITTER_BOOMERANG_TRAIL
172: PARTICLEEMITTER_WITCHDOCTORSKULL_TRAIL
173: PARTICLEEMITTER_GRUB_TRAIL
174: PARTICLEEMITTER_PORTAL_DUST_SLOW
175: PARTICLEEMITTER_PORTAL_DUST_FAST
176: PARTICLEEMITTER_PORTAL_WARP
177: PARTICLEEMITTER_DM_DEATH_MIST
178: PARTICLEEMITTER_ALIENBLAST_SHOCKWAVE
179: PARTICLEEMITTER_YETIKING_YELL_FOG
180: PARTICLEEMITTER_YETIKING_YELL_DUST
181: PARTICLEEMITTER_YETIKING_YELL_SPARKLES
182: PARTICLEEMITTER_YETIQUEEN_LANDING_SNOWDUST
183: PARTICLEEMITTER_NECROMANCER_SUMMON
184: PARTICLEEMITTER_AXOLOTL_SMALLBUBBLEKILL
185: PARTICLEEMITTER_AXOLOTL_BIGBUBBLEKILL
186: PARTICLEEMITTER_LAVAPOT_DRIP
187: PARTICLEEMITTER_WATER_DROP_DESTROYED
188: PARTICLEEMITTER_WATER_DROP_DESTROYED_UPWARDS
189: PARTICLEEMITTER_CAVEMAN_SPITTLE
190: PARTICLEEMITTER_HIGH_TENSION_THUNDERBOLT
191: PARTICLEEMITTER_LEVEL_MIST
192: PARTICLEEMITTER_LAMASSU_SHOT_WARP
193: PARTICLEEMITTER_LAMASSU_SHOT_SPARKLES
194: PARTICLEEMITTER_LAMASSU_AIMING_SPARKLES
195: PARTICLEEMITTER_TIAMAT_SCREAM_WARP
196: PARTICLEEMITTER_CHARSELECTOR_MIST
197: PARTICLEEMITTER_FROST_BREATH
198: PARTICLEEMITTER_MUSIC_NOTES
199: PARTICLEEMITTER_SPARKTRAP_TRAIL
200: PARTICLEEMITTER_DMPREMATCH_SEPARATOR_GLOW_TRAIL
201: PARTICLEEMITTER_BROKENORB_BLAST_SMALL
202: PARTICLEEMITTER_BROKENORB_BLAST_MEDIUM
203: PARTICLEEMITTER_BROKENORB_BLAST_LARGE
204: PARTICLEEMITTER_BROKENORB_WARP_SMALL
205: PARTICLEEMITTER_BROKENORB_WARP_MEDIUM
206: PARTICLEEMITTER_BROKENORB_WARP_LARGE
207: PARTICLEEMITTER_BROKENORB_ORBS_SMALL
208: PARTICLEEMITTER_BROKENORB_ORBS_MEDIUM
209: PARTICLEEMITTER_BROKENORB_ORBS_LARGE
210: PARTICLEEMITTER_BROKENORB_SPARKS_SMALL
211: PARTICLEEMITTER_BROKENORB_SPARKS_MEDIUM
212: PARTICLEEMITTER_BROKENORB_SPARKS_LARGE
213: PARTICLEEMITTER_BROKENORB_SHOCKWAVE_SMALL
214: PARTICLEEMITTER_BROKENORB_SHOCKWAVE_MEDIUM
215: PARTICLEEMITTER_BROKENORB_SHOCKWAVE_LARGE
216: PARTICLEEMITTER_MINIGAME_ASTEROID_DUST
217: PARTICLEEMITTER_MINIGAME_ASTEROID_DUST_SMALL
218: PARTICLEEMITTER_MINIGAME_UFO_SMOKE
219: PARTICLEEMITTER_MINIGAME_BROKENASTEROID_SMOKE
